,ranking,school_name,school_type,address,city,zipcode,county,district,is_charter,is_magnet,is_title_i,total_students,full_time_teachers,student_teacher_ratio,free_lunch_recipient,white,black,hispanic,asian,total_expenditure_per_pupil,ranking_quartile,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile,lunch_eligibity_high,lunch_eligibity_high_False,lunch_eligibity_high_True
835,2177,Gregory Jocko Jackson-Sports-Arts,Public,213 Osborn St,Brooklyn,11212,Kings County,New York City Geographic District #23,No,No,Yes,275,23.0,11.9,95.3,0 (0.0%),189 (68.7%),83 (30.2%),0 (0.0%),,Bottom 25th Percentile,0,0,0,1,True,0,1
836,2178,Ps 345 Patrolman Robert Bolden,Public,111 Berriman St,Brooklyn,11208,Kings County,New York City Geographic District #19,No,No,Yes,539,35.0,15.3,82.9,10 (1.9%),162 (30.1%),314 (58.3%),40 (7.4%),,Bottom 25th Percentile,0,0,0,1,True,0,1
837,2179,Ps/Is 116 William C Hughley,Public,107-25 Wren Pl,Jamaica,11433,Queens County,New York City Geographic District #29,No,No,Yes,781,57.0,13.6,76.3,12 (1.5%),388 (49.7%),300 (38.4%),51 (6.5%),,Bottom 25th Percentile,0,0,0,1,True,0,1
838,2182,Ps 78,Public,100 Tompkins Ave,Staten Island,10304,Richmond County,New York City Geographic District #31,No,No,Yes,791,57.0,13.8,95.6,25 (3.2%),333 (42.1%),377 (47.7%),15 (1.9%),,Bottom 25th Percentile,0,0,0,1,True,0,1
839,2183,Ps 329 Surfside,Public,2929 W 30th St,Brooklyn,11224,Kings County,New York City Geographic District #21,No,No,Yes,385,28.0,13.7,94.5,17 (4.4%),238 (61.8%),108 (28.1%),19 (4.9%),,Bottom 25th Percentile,0,0,0,1,True,0,1
840,2185,Ps 33 Timothy Dwight,Public,2424 Jerome Ave,Bronx,10468,Bronx County,New York City Geographic District #10,No,No,Yes,892,58.0,15.3,90.7,10 (1.1%),87 (9.8%),767 (86.0%),6 (0.7%),,Bottom 25th Percentile,0,0,0,1,True,0,1
841,2186,Riverdale Avenue Community School,Public,76 Riverdale Ave,Brooklyn,11212,Kings County,New York City Geographic District #23,No,No,Yes,379,31.0,12.4,92.6,9 (2.4%),286 (75.5%),72 (19.0%),5 (1.3%),,Bottom 25th Percentile,0,0,0,1,True,0,1
842,2188,Ps 132 Juan Pablo Duarte,Public,185 Wadsworth Ave,New York,10033,New York County,New York City Geographic District # 6,No,No,Yes,241,26.0,9.2,88.0,4 (1.7%),5 (2.1%),232 (96.3%),0 (0.0%),,Bottom 25th Percentile,0,0,0,1,True,0,1
843,2190,Ps 16 John J Driscoll,Public,80 Monroe Ave,Staten Island,10301,Richmond County,New York City Geographic District #31,No,No,Yes,484,38.0,12.7,97.7,40 (8.3%),137 (28.3%),266 (55.0%),28 (5.8%),,Bottom 25th Percentile,0,0,0,1,True,0,1
844,2191,Mosaic Preparatory Academy,Public,141 E 111th St,New York,10029,New York County,New York City Geographic District # 4,No,No,Yes,310,25.0,12.4,94.8,4 (1.3%),117 (37.7%),169 (54.5%),5 (1.6%),,Bottom 25th Percentile,0,0,0,1,True,0,1
845,2192,Ps 30 Wilton,Public,510 E 141st St,Bronx,10454,Bronx County,New York City Geographic District # 7,No,No,Yes,544,41.0,13.2,92.3,12 (2.2%),120 (22.1%),402 (73.9%),2 (0.4%),,Bottom 25th Percentile,0,0,0,1,True,0,1
846,2193,Ps 149 Sojourner Truth,Public,41 W 117th St,New York,10026,New York County,New York City Geographic District # 3,No,No,Yes,240,19.0,12.6,98.3,11 (4.6%),141 (58.8%),74 (30.8%),9 (3.8%),,Bottom 25th Percentile,0,0,0,1,True,0,1
847,2195,Ps 195,Public,1250 Ward Ave,Bronx,10472,Bronx County,New York City Geographic District #12,No,No,Yes,875,61.0,14.3,90.5,3 (0.3%),115 (13.1%),722 (82.5%),15 (1.7%),,Bottom 25th Percentile,0,0,0,1,True,0,1
