zipcode,walkable_false,walkable_true,health_level_dead,health_level_fair,health_level_good,health_level_poor,ada_access_no,ada_access_yes,ada_access_partial,type_is_active_cleanup_mild_threat,type_is_active_significant_threat,type_is_completed_clean,type_is_maintain_continued_threat,type_is_potential_threat,type_is_felony,type_is_violation,type_is_misdemeanor,danger_level_is_high,danger_level_is_low,lunch_eligibity_high_False,lunch_eligibity_high_True,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile,lunch_eligibity_high_False,lunch_eligibity_high_True,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile,lunch_eligibity_high_False,lunch_eligibity_high_True,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile
10281,0.0,0.0,1.0,20.0,48.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10282,0.0,5.0,4.0,12.0,216.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
10285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,11.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10301,304.0,0.0,255.0,782.0,4776.0,221.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,19.0,18.0,42.0,6.0,73.0,4.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0
10302,167.0,0.0,72.0,177.0,2054.0,66.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,56.0,37.0,100.0,7.0,186.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
10303,245.0,0.0,168.0,534.0,2318.0,218.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,86.0,71.0,155.0,13.0,299.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10304,0.0,287.0,203.0,720.0,4738.0,194.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,35.0,43.0,44.0,6.0,116.0,2.0,3.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
10305,0.0,344.0,220.0,887.0,5496.0,252.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,27.0,34.0,52.0,7.0,106.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10306,0.0,662.0,414.0,1801.0,10446.0,369.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,16.0,33.0,5.0,54.0,4.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0
10307,0.0,192.0,149.0,578.0,4548.0,176.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,9.0,10.0,1.0,25.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10308,0.0,403.0,310.0,1246.0,5223.0,337.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,16.0,3.0,36.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10309,0.0,462.0,544.0,1623.0,9890.0,593.0,3.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,3.0,4.0,2.0,0.0,9.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
